Secchi Depth(m),Depth(m),DO(mg/l),Temperature (deg cels),Salinity(ppt),pH,Turbidity(NTU),Phosphate,Ammonium,Nitrate+Nitrite,Chlorophyll-a (ug/l),year,month,day,Julian Year,decimal year,sin(month),cos(month),DIN,N/P,ATemp_mean,ATemp_max,ATemp_min,RH_mean,RH_max,RH_min,BP_mean,BP_max,BP_min,WSpd_mean,WSpd_max,WSpd_min,MaxWSpd_mean,MaxWSpd_max,MaxWSpd_min,Wdir_mean,Wdir_max,Wdir_min,SDWDir_mean,SDWDir_max,SDWDir_min,TotPAR_mean,TotPAR_max,TotPAR_min,TotPrcp_mean,TotPrcp_max,TotPrcp_min,ATemp_mean_1dlag,ATemp_max_1dlag,ATemp_min_1dlag,RH_mean_1dlag,RH_max_1dlag,RH_min_1dlag,BP_mean_1dlag,BP_max_1dlag,BP_min_1dlag,WSpd_mean_1dlag,WSpd_max_1dlag,WSpd_min_1dlag,MaxWSpd_mean_1dlag,MaxWSpd_max_1dlag,MaxWSpd_min_1dlag,Wdir_mean_1dlag,Wdir_max_1dlag,Wdir_min_1dlag,SDWDir_mean_1dlag,SDWDir_max_1dlag,SDWDir_min_1dlag,TotPAR_mean_1dlag,TotPAR_max_1dlag,TotPAR_min_1dlag,TotPrcp_mean_1dlag,TotPrcp_max_1dlag,TotPrcp_min_1dlag,ATemp_mean_2dlag,ATemp_max_2dlag,ATemp_min_2dlag,RH_mean_2dlag,RH_max_2dlag,RH_min_2dlag,BP_mean_2dlag,BP_max_2dlag,BP_min_2dlag,WSpd_mean_2dlag,WSpd_max_2dlag,WSpd_min_2dlag,MaxWSpd_mean_2dlag,MaxWSpd_max_2dlag,MaxWSpd_min_2dlag,Wdir_mean_2dlag,Wdir_max_2dlag,Wdir_min_2dlag,SDWDir_mean_2dlag,SDWDir_max_2dlag,SDWDir_min_2dlag,TotPAR_mean_2dlag,TotPAR_max_2dlag,TotPAR_min_2dlag,TotPrcp_mean_2dlag,TotPrcp_max_2dlag,TotPrcp_min_2dlag,ATemp_mean_3dlag,ATemp_max_3dlag,ATemp_min_3dlag,RH_mean_3dlag,RH_max_3dlag,RH_min_3dlag,BP_mean_3dlag,BP_max_3dlag,BP_min_3dlag,WSpd_mean_3dlag,WSpd_max_3dlag,WSpd_min_3dlag,MaxWSpd_mean_3dlag,MaxWSpd_max_3dlag,MaxWSpd_min_3dlag,Wdir_mean_3dlag,Wdir_max_3dlag,Wdir_min_3dlag,SDWDir_mean_3dlag,SDWDir_max_3dlag,SDWDir_min_3dlag,TotPAR_mean_3dlag,TotPAR_max_3dlag,TotPAR_min_3dlag,TotPrcp_mean_3dlag,TotPrcp_max_3dlag,TotPrcp_min_3dlag,ATemp_mean_4dlag,ATemp_max_4dlag,ATemp_min_4dlag,RH_mean_4dlag,RH_max_4dlag,RH_min_4dlag,BP_mean_4dlag,BP_max_4dlag,BP_min_4dlag,WSpd_mean_4dlag,WSpd_max_4dlag,WSpd_min_4dlag,MaxWSpd_mean_4dlag,MaxWSpd_max_4dlag,MaxWSpd_min_4dlag,Wdir_mean_4dlag,Wdir_max_4dlag,Wdir_min_4dlag,SDWDir_mean_4dlag,SDWDir_max_4dlag,SDWDir_min_4dlag,TotPAR_mean_4dlag,TotPAR_max_4dlag,TotPAR_min_4dlag,TotPrcp_mean_4dlag,TotPrcp_max_4dlag,TotPrcp_min_4dlag,ATemp_mean_5dlag,ATemp_max_5dlag,ATemp_min_5dlag,RH_mean_5dlag,RH_max_5dlag,RH_min_5dlag,BP_mean_5dlag,BP_max_5dlag,BP_min_5dlag,WSpd_mean_5dlag,WSpd_max_5dlag,WSpd_min_5dlag,MaxWSpd_mean_5dlag,MaxWSpd_max_5dlag,MaxWSpd_min_5dlag,Wdir_mean_5dlag,Wdir_max_5dlag,Wdir_min_5dlag,SDWDir_mean_5dlag,SDWDir_max_5dlag,SDWDir_min_5dlag,TotPAR_mean_5dlag,TotPAR_max_5dlag,TotPAR_min_5dlag,TotPrcp_mean_5dlag,TotPrcp_max_5dlag,TotPrcp_min_5dlag,ATemp_mean_6dlag,ATemp_max_6dlag,ATemp_min_6dlag,RH_mean_6dlag,RH_max_6dlag,RH_min_6dlag,BP_mean_6dlag,BP_max_6dlag,BP_min_6dlag,WSpd_mean_6dlag,WSpd_max_6dlag,WSpd_min_6dlag,MaxWSpd_mean_6dlag,MaxWSpd_max_6dlag,MaxWSpd_min_6dlag,Wdir_mean_6dlag,Wdir_max_6dlag,Wdir_min_6dlag,SDWDir_mean_6dlag,SDWDir_max_6dlag,SDWDir_min_6dlag,TotPAR_mean_6dlag,TotPAR_max_6dlag,TotPAR_min_6dlag,TotPrcp_mean_6dlag,TotPrcp_max_6dlag,TotPrcp_min_6dlag,ATemp_mean_7dlag,ATemp_max_7dlag,ATemp_min_7dlag,RH_mean_7dlag,RH_max_7dlag,RH_min_7dlag,BP_mean_7dlag,BP_max_7dlag,BP_min_7dlag,WSpd_mean_7dlag,WSpd_max_7dlag,WSpd_min_7dlag,MaxWSpd_mean_7dlag,MaxWSpd_max_7dlag,MaxWSpd_min_7dlag,Wdir_mean_7dlag,Wdir_max_7dlag,Wdir_min_7dlag,SDWDir_mean_7dlag,SDWDir_max_7dlag,SDWDir_min_7dlag,TotPAR_mean_7dlag,TotPAR_max_7dlag,TotPAR_min_7dlag,TotPrcp_mean_7dlag,TotPrcp_max_7dlag,TotPrcp_min_7dlag
0.8,1.3,9.54,44.05868421,16.8,7.8,2.5,0.002,0.004,0.102,3.418,2003,12,8,2003.933607,2003.916667,-0.5,0.866025404,0.106,53,8.4375,14.7,2,85.01041667,98,63,1022.166667,1025,1021,1.601041667,3.9,0.2,2.408333333,5.6,0.2,90.09375,358,1,9.84375,28,0,205.3104167,1119.9,0,0,0,0,5.714583333,11.5,1,80.4375,96,53,1023.229167,1025,1022,1.720833333,4.8,0.2,2.7375,6.8,0.2,260.2916667,360,2,11.40625,55,0,296.1635417,1139.4,0,0,0,0,5.490625,9.9,1.8,71.67708333,89,52,1022.104167,1024,1020,3.39375,5.9,0.2,5.689583333,9.2,0.2,325.5729167,359,0,13.375,25,4,282.6,1281.5,0,0,0,0,12.59895833,17.2,6.9,86.66666667,98,63,1018,1020,1016,3.013541667,7.4,0.2,5.0125,11.9,0.2,250.0416667,358,0,14.23958333,39,7,143.684375,727,0,0,0,0,16.36875,19.5,14.9,92.80208333,96,86,1018.9375,1022,1017,3.154166667,6.2,0.2,4.722916667,8.9,0.2,111.8854167,360,1,11.13541667,33,6,111.5927083,834.2,0,0.114583333,2.5,0,14.22083333,19.3,8.9,72.52083333,86,55,1024.333333,1027,1022,3.960416667,5.9,1.9,5.751041667,8.9,2.5,70.57291667,95,43,9.53125,15,6,264.525,1126.8,-0.1,0,0,0,12.42291667,19.7,7,52.45833333,77,22,1027.479167,1030,1026,2.9125,5.2,0.2,4.584375,7.9,0.2,70.67708333,360,1,11.27083333,27,3,299.4927083,1134.1,-0.3,0,0,0,10.83333333,19.6,4,64.69791667,94,28,1027.375,1029,1026,1.848958333,4.6,0.2,2.948958333,7.7,0.2,304.9791667,358,0,9.25,22,0,310.1135417,1172.3,-0.3,0,0,0
0.8,1.3,9.89,35.18142857,10.7,7.8,2.2,0.001,0.004,0.034,8.971,2003,12,8,2003.933607,2003.916667,-0.5,0.866025404,0.038,38,8.4375,14.7,2,85.01041667,98,63,1022.166667,1025,1021,1.601041667,3.9,0.2,2.408333333,5.6,0.2,90.09375,358,1,9.84375,28,0,205.3104167,1119.9,0,0,0,0,5.714583333,11.5,1,80.4375,96,53,1023.229167,1025,1022,1.720833333,4.8,0.2,2.7375,6.8,0.2,260.2916667,360,2,11.40625,55,0,296.1635417,1139.4,0,0,0,0,5.490625,9.9,1.8,71.67708333,89,52,1022.104167,1024,1020,3.39375,5.9,0.2,5.689583333,9.2,0.2,325.5729167,359,0,13.375,25,4,282.6,1281.5,0,0,0,0,12.59895833,17.2,6.9,86.66666667,98,63,1018,1020,1016,3.013541667,7.4,0.2,5.0125,11.9,0.2,250.0416667,358,0,14.23958333,39,7,143.684375,727,0,0,0,0,16.36875,19.5,14.9,92.80208333,96,86,1018.9375,1022,1017,3.154166667,6.2,0.2,4.722916667,8.9,0.2,111.8854167,360,1,11.13541667,33,6,111.5927083,834.2,0,0.114583333,2.5,0,14.22083333,19.3,8.9,72.52083333,86,55,1024.333333,1027,1022,3.960416667,5.9,1.9,5.751041667,8.9,2.5,70.57291667,95,43,9.53125,15,6,264.525,1126.8,-0.1,0,0,0,12.42291667,19.7,7,52.45833333,77,22,1027.479167,1030,1026,2.9125,5.2,0.2,4.584375,7.9,0.2,70.67708333,360,1,11.27083333,27,3,299.4927083,1134.1,-0.3,0,0,0,10.83333333,19.6,4,64.69791667,94,28,1027.375,1029,1026,1.848958333,4.6,0.2,2.948958333,7.7,0.2,304.9791667,358,0,9.25,22,0,310.1135417,1172.3,-0.3,0,0,0
0.8,1.3,9.89,35.18142857,10.7,7.8,2.2,0.001,0.004,0.03,8.33,2003,12,8,2003.933607,2003.916667,-0.5,0.866025404,0.034,34,8.4375,14.7,2,85.01041667,98,63,1022.166667,1025,1021,1.601041667,3.9,0.2,2.408333333,5.6,0.2,90.09375,358,1,9.84375,28,0,205.3104167,1119.9,0,0,0,0,5.714583333,11.5,1,80.4375,96,53,1023.229167,1025,1022,1.720833333,4.8,0.2,2.7375,6.8,0.2,260.2916667,360,2,11.40625,55,0,296.1635417,1139.4,0,0,0,0,5.490625,9.9,1.8,71.67708333,89,52,1022.104167,1024,1020,3.39375,5.9,0.2,5.689583333,9.2,0.2,325.5729167,359,0,13.375,25,4,282.6,1281.5,0,0,0,0,12.59895833,17.2,6.9,86.66666667,98,63,1018,1020,1016,3.013541667,7.4,0.2,5.0125,11.9,0.2,250.0416667,358,0,14.23958333,39,7,143.684375,727,0,0,0,0,16.36875,19.5,14.9,92.80208333,96,86,1018.9375,1022,1017,3.154166667,6.2,0.2,4.722916667,8.9,0.2,111.8854167,360,1,11.13541667,33,6,111.5927083,834.2,0,0.114583333,2.5,0,14.22083333,19.3,8.9,72.52083333,86,55,1024.333333,1027,1022,3.960416667,5.9,1.9,5.751041667,8.9,2.5,70.57291667,95,43,9.53125,15,6,264.525,1126.8,-0.1,0,0,0,12.42291667,19.7,7,52.45833333,77,22,1027.479167,1030,1026,2.9125,5.2,0.2,4.584375,7.9,0.2,70.67708333,360,1,11.27083333,27,3,299.4927083,1134.1,-0.3,0,0,0,10.83333333,19.6,4,64.69791667,94,28,1027.375,1029,1026,1.848958333,4.6,0.2,2.948958333,7.7,0.2,304.9791667,358,0,9.25,22,0,310.1135417,1172.3,-0.3,0,0,0
1.2,1.2,9.86,30.57828947,12.5,7.7,2.5,0.001,0.004,0.169,4.699,2003,12,8,2003.933607,2003.916667,-0.5,0.866025404,0.173,173,8.4375,14.7,2,85.01041667,98,63,1022.166667,1025,1021,1.601041667,3.9,0.2,2.408333333,5.6,0.2,90.09375,358,1,9.84375,28,0,205.3104167,1119.9,0,0,0,0,5.714583333,11.5,1,80.4375,96,53,1023.229167,1025,1022,1.720833333,4.8,0.2,2.7375,6.8,0.2,260.2916667,360,2,11.40625,55,0,296.1635417,1139.4,0,0,0,0,5.490625,9.9,1.8,71.67708333,89,52,1022.104167,1024,1020,3.39375,5.9,0.2,5.689583333,9.2,0.2,325.5729167,359,0,13.375,25,4,282.6,1281.5,0,0,0,0,12.59895833,17.2,6.9,86.66666667,98,63,1018,1020,1016,3.013541667,7.4,0.2,5.0125,11.9,0.2,250.0416667,358,0,14.23958333,39,7,143.684375,727,0,0,0,0,16.36875,19.5,14.9,92.80208333,96,86,1018.9375,1022,1017,3.154166667,6.2,0.2,4.722916667,8.9,0.2,111.8854167,360,1,11.13541667,33,6,111.5927083,834.2,0,0.114583333,2.5,0,14.22083333,19.3,8.9,72.52083333,86,55,1024.333333,1027,1022,3.960416667,5.9,1.9,5.751041667,8.9,2.5,70.57291667,95,43,9.53125,15,6,264.525,1126.8,-0.1,0,0,0,12.42291667,19.7,7,52.45833333,77,22,1027.479167,1030,1026,2.9125,5.2,0.2,4.584375,7.9,0.2,70.67708333,360,1,11.27083333,27,3,299.4927083,1134.1,-0.3,0,0,0,10.83333333,19.6,4,64.69791667,94,28,1027.375,1029,1026,1.848958333,4.6,0.2,2.948958333,7.7,0.2,304.9791667,358,0,9.25,22,0,310.1135417,1172.3,-0.3,0,0,0
2,2,9.53,44.68203947,11.7,7.7,2.6,0.002,0.004,0.171,2.136,2003,12,8,2003.933607,2003.916667,-0.5,0.866025404,0.175,87.5,8.4375,14.7,2,85.01041667,98,63,1022.166667,1025,1021,1.601041667,3.9,0.2,2.408333333,5.6,0.2,90.09375,358,1,9.84375,28,0,205.3104167,1119.9,0,0,0,0,5.714583333,11.5,1,80.4375,96,53,1023.229167,1025,1022,1.720833333,4.8,0.2,2.7375,6.8,0.2,260.2916667,360,2,11.40625,55,0,296.1635417,1139.4,0,0,0,0,5.490625,9.9,1.8,71.67708333,89,52,1022.104167,1024,1020,3.39375,5.9,0.2,5.689583333,9.2,0.2,325.5729167,359,0,13.375,25,4,282.6,1281.5,0,0,0,0,12.59895833,17.2,6.9,86.66666667,98,63,1018,1020,1016,3.013541667,7.4,0.2,5.0125,11.9,0.2,250.0416667,358,0,14.23958333,39,7,143.684375,727,0,0,0,0,16.36875,19.5,14.9,92.80208333,96,86,1018.9375,1022,1017,3.154166667,6.2,0.2,4.722916667,8.9,0.2,111.8854167,360,1,11.13541667,33,6,111.5927083,834.2,0,0.114583333,2.5,0,14.22083333,19.3,8.9,72.52083333,86,55,1024.333333,1027,1022,3.960416667,5.9,1.9,5.751041667,8.9,2.5,70.57291667,95,43,9.53125,15,6,264.525,1126.8,-0.1,0,0,0,12.42291667,19.7,7,52.45833333,77,22,1027.479167,1030,1026,2.9125,5.2,0.2,4.584375,7.9,0.2,70.67708333,360,1,11.27083333,27,3,299.4927083,1134.1,-0.3,0,0,0,10.83333333,19.6,4,64.69791667,94,28,1027.375,1029,1026,1.848958333,4.6,0.2,2.948958333,7.7,0.2,304.9791667,358,0,9.25,22,0,310.1135417,1172.3,-0.3,0,0,0
1.2,3.4,8.79,11.3,16.8,8,5.5,0.001,0.004,0.186,2.1,2004,1,8,2004.019165,2004,0,1,0.19,190,6.498958333,14.4,-0.2,59.3125,90,39,1028.322917,1031,1024,2.18125,3.8,0.2,3.696875,6.5,0.2,89.34375,360,1,14.13541667,35,8,248.8333333,1243.2,-0.4,0.017708333,0.5,0,4.769791667,10.9,-0.2,45.45833333,70,20,1032.572917,1035,1031,3.864583333,6.3,0.2,6.24375,10.3,0.2,40.03125,359,0,13.19791667,24,5,300.2875,1139.5,-0.4,0,0,0,10.275,17.4,5.5,70.38541667,95,50,1026.208333,1032,1021,5.141666667,7.5,3.1,7.995833333,11.2,4.7,157.875,360,0,13.41666667,19,9,196.9489583,1141.9,-0.1,0.003125,0.3,0,20.18229167,23.6,17.5,92.5625,98,81,1019.0625,1021,1018,2.369791667,5.3,0.2,3.847916667,8,0.2,223.0520833,354,168,12.23958333,31,7,249.159375,1140.2,0,0.01875,1,0,18.771875,22.8,14.2,91.70833333,98,79,1020.822917,1023,1019,2.279166667,5.2,0.2,3.56875,8.2,0.2,128.46875,183,2,11.8125,31,3,261.1833333,1149.1,0,0,0,0,17.053125,21.3,14.1,92.03125,98,71,1023.729167,1026,1022,0.920833333,3.8,0.2,1.639583333,5.5,0.2,91.96875,339,10,12.25,40,0,219.0916667,1133.6,0,0.003125,0.3,0,15.51458333,20.3,11.5,91.83333333,98,79,1026.125,1028,1024,1.032291667,3.9,0.2,1.803125,5.5,0.2,81.44791667,359,4,11.38541667,39,1,198.39375,1148.2,0,0,0,0,13.49895833,19.8,8,81.45833333,97,72,1028.989583,1032,1028,1.327083333,3.8,0.2,2.171875,5.2,0.2,64.38541667,354,0,10.38541667,38,0,280.1708333,1078.4,-0.1,0,0,0
1,1.4,9.8,11.3,14.5,8.1,7.2,0.001,0.008,0.231,2.6,2004,1,8,2004.019165,2004,0,1,0.239,239,6.498958333,14.4,-0.2,59.3125,90,39,1028.322917,1031,1024,2.18125,3.8,0.2,3.696875,6.5,0.2,89.34375,360,1,14.13541667,35,8,248.8333333,1243.2,-0.4,0.017708333,0.5,0,4.769791667,10.9,-0.2,45.45833333,70,20,1032.572917,1035,1031,3.864583333,6.3,0.2,6.24375,10.3,0.2,40.03125,359,0,13.19791667,24,5,300.2875,1139.5,-0.4,0,0,0,10.275,17.4,5.5,70.38541667,95,50,1026.208333,1032,1021,5.141666667,7.5,3.1,7.995833333,11.2,4.7,157.875,360,0,13.41666667,19,9,196.9489583,1141.9,-0.1,0.003125,0.3,0,20.18229167,23.6,17.5,92.5625,98,81,1019.0625,1021,1018,2.369791667,5.3,0.2,3.847916667,8,0.2,223.0520833,354,168,12.23958333,31,7,249.159375,1140.2,0,0.01875,1,0,18.771875,22.8,14.2,91.70833333,98,79,1020.822917,1023,1019,2.279166667,5.2,0.2,3.56875,8.2,0.2,128.46875,183,2,11.8125,31,3,261.1833333,1149.1,0,0,0,0,17.053125,21.3,14.1,92.03125,98,71,1023.729167,1026,1022,0.920833333,3.8,0.2,1.639583333,5.5,0.2,91.96875,339,10,12.25,40,0,219.0916667,1133.6,0,0.003125,0.3,0,15.51458333,20.3,11.5,91.83333333,98,79,1026.125,1028,1024,1.032291667,3.9,0.2,1.803125,5.5,0.2,81.44791667,359,4,11.38541667,39,1,198.39375,1148.2,0,0,0,0,13.49895833,19.8,8,81.45833333,97,72,1028.989583,1032,1028,1.327083333,3.8,0.2,2.171875,5.2,0.2,64.38541667,354,0,10.38541667,38,0,280.1708333,1078.4,-0.1,0,0,0
0.8,2,9.46,11,17.8,8,10.8,0.001,0.005,0.155,4.3,2004,1,8,2004.019165,2004,0,1,0.16,160,6.498958333,14.4,-0.2,59.3125,90,39,1028.322917,1031,1024,2.18125,3.8,0.2,3.696875,6.5,0.2,89.34375,360,1,14.13541667,35,8,248.8333333,1243.2,-0.4,0.017708333,0.5,0,4.769791667,10.9,-0.2,45.45833333,70,20,1032.572917,1035,1031,3.864583333,6.3,0.2,6.24375,10.3,0.2,40.03125,359,0,13.19791667,24,5,300.2875,1139.5,-0.4,0,0,0,10.275,17.4,5.5,70.38541667,95,50,1026.208333,1032,1021,5.141666667,7.5,3.1,7.995833333,11.2,4.7,157.875,360,0,13.41666667,19,9,196.9489583,1141.9,-0.1,0.003125,0.3,0,20.18229167,23.6,17.5,92.5625,98,81,1019.0625,1021,1018,2.369791667,5.3,0.2,3.847916667,8,0.2,223.0520833,354,168,12.23958333,31,7,249.159375,1140.2,0,0.01875,1,0,18.771875,22.8,14.2,91.70833333,98,79,1020.822917,1023,1019,2.279166667,5.2,0.2,3.56875,8.2,0.2,128.46875,183,2,11.8125,31,3,261.1833333,1149.1,0,0,0,0,17.053125,21.3,14.1,92.03125,98,71,1023.729167,1026,1022,0.920833333,3.8,0.2,1.639583333,5.5,0.2,91.96875,339,10,12.25,40,0,219.0916667,1133.6,0,0.003125,0.3,0,15.51458333,20.3,11.5,91.83333333,98,79,1026.125,1028,1024,1.032291667,3.9,0.2,1.803125,5.5,0.2,81.44791667,359,4,11.38541667,39,1,198.39375,1148.2,0,0,0,0,13.49895833,19.8,8,81.45833333,97,72,1028.989583,1032,1028,1.327083333,3.8,0.2,2.171875,5.2,0.2,64.38541667,354,0,10.38541667,38,0,280.1708333,1078.4,-0.1,0,0,0
1.2,1.5,9.88,10.7,5.1,7.6,5.2,0.001,0.009,0.435,3,2004,1,8,2004.019165,2004,0,1,0.444,444,6.498958333,14.4,-0.2,59.3125,90,39,1028.322917,1031,1024,2.18125,3.8,0.2,3.696875,6.5,0.2,89.34375,360,1,14.13541667,35,8,248.8333333,1243.2,-0.4,0.017708333,0.5,0,4.769791667,10.9,-0.2,45.45833333,70,20,1032.572917,1035,1031,3.864583333,6.3,0.2,6.24375,10.3,0.2,40.03125,359,0,13.19791667,24,5,300.2875,1139.5,-0.4,0,0,0,10.275,17.4,5.5,70.38541667,95,50,1026.208333,1032,1021,5.141666667,7.5,3.1,7.995833333,11.2,4.7,157.875,360,0,13.41666667,19,9,196.9489583,1141.9,-0.1,0.003125,0.3,0,20.18229167,23.6,17.5,92.5625,98,81,1019.0625,1021,1018,2.369791667,5.3,0.2,3.847916667,8,0.2,223.0520833,354,168,12.23958333,31,7,249.159375,1140.2,0,0.01875,1,0,18.771875,22.8,14.2,91.70833333,98,79,1020.822917,1023,1019,2.279166667,5.2,0.2,3.56875,8.2,0.2,128.46875,183,2,11.8125,31,3,261.1833333,1149.1,0,0,0,0,17.053125,21.3,14.1,92.03125,98,71,1023.729167,1026,1022,0.920833333,3.8,0.2,1.639583333,5.5,0.2,91.96875,339,10,12.25,40,0,219.0916667,1133.6,0,0.003125,0.3,0,15.51458333,20.3,11.5,91.83333333,98,79,1026.125,1028,1024,1.032291667,3.9,0.2,1.803125,5.5,0.2,81.44791667,359,4,11.38541667,39,1,198.39375,1148.2,0,0,0,0,13.49895833,19.8,8,81.45833333,97,72,1028.989583,1032,1028,1.327083333,3.8,0.2,2.171875,5.2,0.2,64.38541667,354,0,10.38541667,38,0,280.1708333,1078.4,-0.1,0,0,0
1.1,1.25,10.55,10.3,11.3,8.3,7.6,0.001,0.004,0.023,10.9,2004,1,8,2004.019165,2004,0,1,0.027,27,6.498958333,14.4,-0.2,59.3125,90,39,1028.322917,1031,1024,2.18125,3.8,0.2,3.696875,6.5,0.2,89.34375,360,1,14.13541667,35,8,248.8333333,1243.2,-0.4,0.017708333,0.5,0,4.769791667,10.9,-0.2,45.45833333,70,20,1032.572917,1035,1031,3.864583333,6.3,0.2,6.24375,10.3,0.2,40.03125,359,0,13.19791667,24,5,300.2875,1139.5,-0.4,0,0,0,10.275,17.4,5.5,70.38541667,95,50,1026.208333,1032,1021,5.141666667,7.5,3.1,7.995833333,11.2,4.7,157.875,360,0,13.41666667,19,9,196.9489583,1141.9,-0.1,0.003125,0.3,0,20.18229167,23.6,17.5,92.5625,98,81,1019.0625,1021,1018,2.369791667,5.3,0.2,3.847916667,8,0.2,223.0520833,354,168,12.23958333,31,7,249.159375,1140.2,0,0.01875,1,0,18.771875,22.8,14.2,91.70833333,98,79,1020.822917,1023,1019,2.279166667,5.2,0.2,3.56875,8.2,0.2,128.46875,183,2,11.8125,31,3,261.1833333,1149.1,0,0,0,0,17.053125,21.3,14.1,92.03125,98,71,1023.729167,1026,1022,0.920833333,3.8,0.2,1.639583333,5.5,0.2,91.96875,339,10,12.25,40,0,219.0916667,1133.6,0,0.003125,0.3,0,15.51458333,20.3,11.5,91.83333333,98,79,1026.125,1028,1024,1.032291667,3.9,0.2,1.803125,5.5,0.2,81.44791667,359,4,11.38541667,39,1,198.39375,1148.2,0,0,0,0,13.49895833,19.8,8,81.45833333,97,72,1028.989583,1032,1028,1.327083333,3.8,0.2,2.171875,5.2,0.2,64.38541667,354,0,10.38541667,38,0,280.1708333,1078.4,-0.1,0,0,0
